,Freq,Thr,mhc
0,16.2,884,HLAA0101
1,25.2,255,HLAA0201
2,3.3,92,HLAA0203
3,4.9,60,HLAA0206
4,15.4,602,HLAA0301
5,12.9,382,HLAA1101
6,6.4,740,HLAA2301
7,16.8,849,HLAA2402
8,2.5,795,HLAA2501
9,4.7,815,HLAA2601
10,2.9,641,HLAA2902
11,5.1,109,HLAA3001
12,5.0,674,HLAA3002
13,4.7,329,HLAA3101
14,5.7,131,HLAA3201
15,3.2,606,HLAA3301
16,4.6,197,HLAA6801
17,3.3,259,HLAA6802
18,13.3,687,HLAB0702
19,11.5,663,HLAB0801
20,2.8,700,HLAB1402
21,5.2,528,HLAB1501
22,4.4,732,HLAB1801
23,2.0,584,HLAB2705
24,6.5,348,HLAB3501
25,1.2,888,HLAB3503
26,2.0,944,HLAB3801
27,2.9,542,HLAB3901
28,10.3,639,HLAB4001
29,3.5,590,HLAB4002
30,9.2,904,HLAB4402
31,7.6,780,HLAB4403
32,4.0,926,HLAB4601
33,1.8,887,HLAB4801
34,5.5,939,HLAB5101
35,5.4,538,HLAB5301
36,3.2,716,HLAB5701
37,3.6,446,HLAB5801
