,2Means_pept,3Means_pept,100Means_pept,1000Means_pept,500Means_pept
0,1,2,89,76,67
1,1,2,47,130,205
2,1,1,84,417,17
3,0,0,7,89,75
4,1,2,47,581,34
5,0,0,95,928,105
6,0,0,56,887,370
7,0,0,24,82,139
8,0,0,56,280,183
9,1,2,49,842,145
10,0,2,72,345,60
11,0,0,95,205,28
12,0,0,95,687,139
13,1,2,10,918,173
14,1,0,24,561,125
15,0,0,95,320,265
16,0,0,24,80,66
17,0,0,81,790,414
18,0,1,58,696,321
19,0,0,81,887,370
20,0,0,95,746,195
21,0,1,33,727,59
22,0,1,58,696,321
23,0,2,36,621,245
24,0,1,19,595,280
25,0,2,71,190,216
26,0,2,31,306,310
27,0,1,19,266,442
28,1,2,53,732,374
29,0,1,19,696,321
30,0,2,19,113,432
31,1,1,23,538,443
32,0,2,53,732,374
33,0,0,95,544,355
34,0,0,2,660,261
35,0,0,95,573,85
36,0,0,36,668,491
37,0,0,37,317,72
38,0,0,60,593,261
39,0,0,57,263,365
40,0,0,24,804,261
41,0,0,56,307,261
42,0,2,32,692,178
43,0,2,57,166,152
44,1,1,76,809,460
45,0,2,13,646,328
46,0,0,95,616,105
47,1,2,86,828,333
48,1,2,25,729,343
49,0,1,26,852,301
50,0,1,26,852,301
51,0,1,58,852,321
52,1,1,32,315,268
53,1,1,76,772,460
54,1,2,61,394,24
55,0,0,81,852,370
56,0,0,71,535,207
57,1,0,9,512,37
58,1,2,80,49,231
59,1,2,80,49,231
60,1,2,80,49,231
61,1,2,80,49,231
62,1,2,80,49,231
63,1,0,66,49,231
64,1,0,66,49,231
65,1,0,9,512,144
66,1,0,1,734,144
67,1,0,9,512,335
68,0,0,36,393,491
69,1,0,9,516,271
70,0,2,32,994,213
71,0,2,34,119,213
72,0,2,22,994,393
73,0,2,22,363,465
74,0,2,16,661,47
75,0,2,84,548,413
76,1,2,99,743,194
77,1,2,89,172,194
78,0,2,16,119,39
79,0,2,16,278,168
80,1,2,6,117,194
81,1,2,99,117,194
82,0,2,31,996,109
83,1,2,34,119,322
84,0,2,40,72,70
85,0,2,40,72,70
86,1,2,20,704,163
87,1,2,86,759,42
88,1,2,89,9,194
89,0,1,79,990,189
90,1,2,6,698,228
91,0,2,86,759,42
92,0,2,47,994,205
93,0,1,40,14,493
94,0,1,79,958,189
95,1,2,49,745,194
96,0,2,89,413,174
97,1,2,6,106,174
98,1,2,91,698,393
99,0,2,16,219,47
100,0,2,31,996,109
101,0,1,23,994,213
102,0,2,84,548,221
103,0,1,89,363,194
104,1,2,85,376,373
105,0,1,34,836,202
106,0,1,34,836,202
107,0,2,14,296,131
108,1,2,16,279,47
109,0,2,32,994,56
110,0,1,63,960,186
111,0,1,77,556,319
112,0,2,34,836,189
113,0,1,16,461,391
114,0,1,79,994,189
115,1,2,34,6,194
116,0,2,86,759,42
117,1,2,86,759,42
118,1,2,99,130,174
119,0,1,47,698,51
120,1,2,20,704,390
121,1,2,85,376,373
122,1,2,85,117,174
123,1,2,6,46,469
124,1,2,85,376,373
125,0,1,71,39,464
126,1,2,83,106,174
127,1,2,89,252,393
128,1,2,83,376,373
129,1,2,85,376,373
130,1,2,6,101,450
131,1,2,6,996,109
132,1,2,6,76,450
133,0,0,89,363,73
134,1,2,89,363,294
135,1,2,6,363,450
136,1,2,6,363,450
137,1,2,89,363,194
138,1,2,85,376,373
139,1,2,6,339,78
140,0,2,18,117,205
141,0,2,84,548,17
142,1,2,85,376,373
143,1,2,89,101,55
144,1,2,52,363,18
145,1,2,71,39,298
146,1,2,85,376,373
147,1,2,6,76,228
148,1,2,91,376,174
149,1,2,85,376,373
150,0,1,89,900,450
151,0,2,40,629,283
152,1,2,89,900,450
153,1,2,47,311,416
154,0,2,84,417,17
155,1,2,31,996,109
156,1,2,85,376,373
157,1,2,0,54,78
158,1,2,89,900,450
159,1,2,86,759,42
160,0,1,48,435,154
161,1,2,6,117,294
162,1,2,68,978,174
163,1,2,85,376,373
164,1,2,6,117,174
165,1,2,6,117,174
166,1,2,18,296,131
167,1,2,31,343,109
168,1,1,89,915,410
169,1,2,6,46,387
170,1,2,49,117,65
171,1,2,85,376,373
172,1,2,84,417,17
173,1,2,32,229,205
174,0,2,90,698,389
175,1,2,25,128,343
176,1,2,86,759,42
177,1,2,85,376,373
178,0,1,42,352,42
179,1,1,76,538,428
180,0,0,6,237,199
181,1,0,11,376,373
182,0,0,95,110,49
183,0,0,2,746,195
184,0,0,24,228,16
185,0,0,2,746,195
186,1,0,24,376,373
187,0,0,70,37,62
188,0,0,95,228,16
189,1,0,66,77,65
190,1,0,85,376,373
191,0,0,9,538,192
192,0,0,90,763,422
193,0,2,6,363,222
194,1,2,10,6,322
195,0,1,3,828,333
196,1,2,85,117,174
197,1,2,85,117,174
198,1,2,85,376,373
199,1,2,85,117,174
200,1,2,85,376,373
201,1,2,85,376,174
202,1,2,85,376,373
203,1,1,89,849,210
204,1,2,89,101,450
205,1,2,31,117,109
206,1,2,47,882,205
207,1,2,16,859,47
208,1,2,6,117,112
209,1,2,89,76,450
210,1,2,77,644,205
211,1,2,25,90,343
212,1,2,6,117,294
213,1,2,85,117,174
214,1,2,85,117,174
215,1,2,85,376,373
216,1,2,85,376,174
217,1,2,85,376,373
218,1,2,85,376,174
219,1,2,85,376,373
220,1,2,16,859,168
221,1,2,6,465,18
222,0,2,13,352,42
223,0,2,40,815,283
224,1,2,49,76,145
225,1,2,6,117,78
226,1,2,6,76,78
227,1,2,85,376,373
228,1,2,48,88,84
229,1,2,71,39,215
230,0,2,61,465,109
231,1,1,89,101,450
232,1,2,89,117,397
233,1,2,6,76,228
234,1,2,71,761,298
235,1,2,6,101,450
236,0,2,6,698,228
237,1,2,6,106,387
238,1,2,85,376,373
239,1,2,6,288,387
240,1,2,6,789,18
241,1,2,6,698,228
242,1,2,6,117,174
243,1,2,85,376,373
244,1,2,61,63,109
245,1,2,85,376,373
246,0,2,31,785,123
247,1,2,99,193,218
248,1,2,20,281,390
249,0,1,34,672,156
250,1,2,43,81,312
251,1,2,30,945,55
252,0,2,13,218,317
253,1,2,12,957,462
254,1,2,54,945,397
255,1,2,84,112,102
256,1,2,55,288,387
257,1,2,55,945,65
258,1,2,72,353,283
259,0,0,95,591,262
260,0,0,95,668,168
261,0,0,95,750,105
262,0,0,70,37,62
263,1,1,63,298,227
264,0,0,66,516,239
265,1,2,86,759,193
266,1,2,18,945,251
267,1,2,25,184,343
268,1,2,25,945,475
269,1,2,39,945,467
270,1,2,90,717,160
271,0,2,47,57,440
272,0,1,25,505,31
273,1,2,12,481,218
274,1,2,65,481,87
275,1,2,55,945,412
276,1,2,93,87,112
277,1,2,99,973,112
278,1,2,34,119,2
279,1,2,34,119,473
280,1,2,99,57,256
281,0,1,40,426,434
282,1,2,71,761,53
283,1,2,31,21,212
284,1,1,23,628,385
285,1,2,75,344,2
286,1,2,30,989,397
287,0,1,92,319,409
288,1,2,54,643,397
289,1,2,80,919,182
290,1,2,31,184,254
291,1,2,54,384,397
292,1,2,17,29,93
293,1,2,54,377,290
294,1,1,64,799,215
295,1,1,64,167,386
296,0,2,84,485,424
297,1,1,76,432,164
298,1,2,54,384,78
299,1,1,16,410,391
300,1,2,93,495,159
301,1,1,4,128,339
302,1,2,0,54,76
303,1,2,31,210,212
304,1,0,35,232,234
305,1,0,24,82,66
306,0,0,81,228,66
307,0,0,70,37,62
308,0,0,81,360,75
309,1,0,52,516,144
310,0,2,90,372,223
311,1,2,64,753,215
312,1,1,29,501,151
313,1,2,54,384,397
314,1,2,5,377,22
315,1,2,10,350,278
316,1,2,55,123,437
317,1,2,93,973,208
318,1,2,39,954,130
319,1,2,10,857,2
320,1,2,68,210,127
321,1,2,99,119,256
322,1,2,93,87,112
323,0,1,46,871,307
324,1,2,99,184,163
325,1,1,85,858,459
326,1,1,23,26,259
327,1,2,18,459,163
328,0,2,93,639,173
329,1,2,85,726,248
330,0,2,90,142,223
331,1,2,91,213,163
332,1,2,30,989,263
333,1,2,0,726,78
334,1,2,59,463,345
335,1,1,59,148,164
336,0,0,50,361,179
337,0,2,50,361,179
338,1,2,61,781,109
339,1,2,30,726,263
340,0,2,61,996,24
341,1,2,34,119,439
342,1,0,11,201,217
343,0,0,84,230,307
344,1,0,24,561,66
345,0,0,24,228,66
346,0,0,24,437,260
347,0,0,70,37,62
348,1,2,30,384,140
349,1,2,86,759,193
350,1,2,91,893,294
351,1,2,71,194,215
352,1,2,30,726,140
353,1,2,85,586,163
354,1,0,20,281,390
355,1,2,31,996,123
356,1,2,31,996,123
357,1,2,20,399,284
358,1,2,20,485,288
359,0,2,22,276,477
360,1,2,99,193,256
361,1,2,99,131,156
362,1,2,34,929,2
363,0,2,62,974,376
364,1,2,99,193,256
365,0,1,49,921,8
366,0,2,14,296,242
367,1,2,99,57,256
368,1,2,99,193,256
369,1,2,99,377,412
370,1,2,99,193,256
371,1,2,99,57,256
372,1,2,99,193,256
373,0,2,34,119,473
374,0,2,46,230,458
375,1,2,71,227,53
376,1,2,34,576,473
377,1,2,64,167,53
378,1,2,99,842,146
379,1,2,99,193,146
380,1,2,99,193,256
381,1,2,25,366,343
382,0,2,47,57,300
383,0,1,23,102,59
384,0,2,70,37,62
385,1,2,34,413,300
386,1,1,47,311,387
387,1,2,25,453,241
388,1,2,99,193,256
389,1,2,34,350,473
390,0,2,46,230,413
391,0,2,16,278,47
392,1,1,99,858,218
393,1,2,55,420,65
394,0,2,70,37,62
395,1,2,17,174,165
396,0,2,70,37,62
397,1,2,16,410,391
398,1,2,30,810,251
399,1,2,55,86,65
400,1,2,10,857,2
401,0,2,70,37,62
402,0,2,80,623,97
403,0,2,70,37,62
404,1,2,17,282,22
405,1,1,47,12,345
406,1,2,71,158,298
407,1,2,49,745,145
408,0,0,16,410,391
409,1,2,55,86,65
410,1,2,10,44,291
411,1,2,16,279,47
412,0,1,43,664,4
413,0,0,70,37,62
414,0,0,0,413,300
415,0,0,31,880,474
416,1,1,27,434,498
417,1,2,55,129,13
418,1,2,55,210,412
419,1,2,17,434,498
420,0,2,70,37,62
421,1,2,55,207,146
422,1,2,12,61,97
423,1,2,10,350,248
424,0,2,70,37,62
425,1,2,31,996,254
426,1,2,30,941,437
427,0,2,70,37,62
428,1,2,30,58,456
429,1,2,47,57,440
430,1,2,8,466,31
431,1,2,49,745,475
432,1,2,16,410,47
433,1,2,93,137,156
434,1,2,16,279,47
435,1,2,31,996,254
436,0,1,29,921,8
437,1,2,78,377,483
438,1,2,0,54,78
439,0,2,70,37,62
440,0,2,31,510,162
441,1,2,75,246,392
442,1,2,20,987,284
443,1,2,91,718,2
444,1,2,52,75,484
445,1,2,71,753,215
446,1,2,10,119,439
447,1,1,91,192,461
448,1,2,39,369,339
449,1,1,91,712,342
450,0,2,70,37,62
451,1,2,90,157,223
452,0,2,86,707,267
453,1,2,17,772,165
454,1,2,54,407,268
455,1,2,55,86,263
456,1,2,30,321,165
457,1,2,16,780,314
458,1,2,72,353,60
459,1,2,51,68,263
460,0,2,70,37,62
461,1,2,0,54,197
462,1,2,75,390,392
463,1,0,91,192,461
464,0,0,70,37,62
465,0,0,50,189,38
466,0,0,56,694,66
467,0,0,95,60,139
468,0,0,70,37,62
469,0,0,70,37,62
470,0,0,95,591,262
471,0,0,70,37,62
472,0,0,70,37,62
473,0,0,70,37,62
474,0,0,70,37,62
475,1,0,24,228,66
476,0,0,70,37,62
477,1,0,24,80,66
478,0,0,70,37,62
479,1,0,24,627,66
480,0,0,70,37,62
481,0,0,95,693,139
482,0,0,70,37,62
483,0,0,70,37,62
484,0,0,95,693,314
485,0,0,70,37,62
486,0,0,95,591,262
487,0,0,70,37,62
488,0,0,95,591,262
489,0,0,70,437,260
490,0,0,70,37,62
491,0,0,70,37,62
492,0,0,70,37,62
493,0,0,70,37,62
494,0,0,70,37,62
495,0,0,70,37,62
496,0,0,70,37,62
497,0,0,70,37,62
498,0,0,70,37,62
499,0,0,70,37,62
500,0,0,70,37,62
501,0,0,70,37,62
502,0,0,70,37,62
503,0,0,70,37,62
504,0,0,70,37,62
505,0,0,70,37,62
506,0,0,70,37,62
507,0,0,70,37,62
508,0,0,70,37,62
509,0,0,70,37,62
510,0,0,70,37,62
511,0,0,70,37,62
512,0,0,70,37,62
513,0,0,70,37,62
514,0,0,70,37,62
515,0,0,70,37,62
516,0,0,70,37,62
517,0,0,70,37,62
518,0,0,70,37,62
519,0,0,70,37,62
520,0,0,70,37,62
521,0,0,70,37,62
522,0,0,70,37,62
523,0,0,70,37,62
524,0,0,70,37,62
525,0,0,70,37,62
526,0,0,70,37,62
527,0,0,70,37,62
528,0,0,70,37,62
529,0,0,70,37,62
530,0,0,70,37,62
531,0,0,70,37,62
532,0,0,70,37,62
533,0,0,70,37,62
534,0,0,70,37,62
535,0,0,70,37,62
536,0,0,70,37,62
537,0,0,70,37,62
538,0,0,70,37,62
539,0,0,70,37,62
540,0,0,70,37,62
541,0,0,70,37,62
542,0,0,70,37,62
543,0,0,70,37,62
544,0,0,70,37,62
545,0,0,70,37,62
546,0,0,70,37,62
547,0,0,70,37,62
548,0,0,70,37,62
549,0,0,70,37,62
550,0,0,70,37,62
551,0,0,70,37,62
552,0,0,70,37,62
553,0,0,70,37,62
554,0,0,70,37,62
555,0,0,70,37,62
556,0,0,70,37,62
557,0,0,70,37,62
558,0,0,70,37,62
559,0,0,70,37,62
560,0,0,70,37,62
561,0,0,70,37,62
562,0,0,70,37,62
563,0,0,70,37,62
564,0,0,70,37,62
565,0,0,70,37,62
566,0,0,70,37,62
567,0,0,70,37,62
568,0,0,70,37,62
569,0,0,70,37,62
570,0,0,70,37,62
571,0,0,70,37,62
572,0,0,70,37,62
573,0,0,70,37,62
574,0,0,70,37,62
575,0,0,70,37,62
576,0,0,70,37,62
577,0,0,70,37,62
578,0,0,70,37,62
579,0,0,70,37,62
580,0,0,70,37,62
581,0,0,70,37,62
582,0,0,70,37,62
583,0,0,70,37,62
584,0,0,70,37,62
585,0,0,70,37,62
586,0,0,70,37,62
587,0,0,70,37,62
588,0,0,70,37,62
589,0,0,70,37,62
590,0,0,70,37,62
591,0,0,70,37,62
592,0,0,70,37,62
593,0,0,70,37,62
594,0,0,70,37,62
595,0,0,70,37,62
596,0,0,70,37,62
597,0,0,70,37,62
598,0,0,70,37,62
599,0,0,70,37,62
600,0,0,70,37,62
601,0,0,24,263,28
602,0,0,70,37,62
603,0,0,70,37,62
604,0,0,70,37,62
605,0,0,70,37,62
606,0,0,24,611,381
607,0,0,70,37,62
608,0,0,70,37,62
609,0,0,70,37,62
610,0,0,70,37,62
611,1,0,24,50,66
612,0,0,70,37,62
613,0,0,70,37,62
614,0,0,70,37,62
615,1,0,9,516,271
616,0,0,66,139,335
617,0,0,70,37,62
618,1,2,17,800,13
619,1,1,29,659,437
620,1,2,55,903,397
621,1,2,5,505,31
622,1,2,71,725,421
623,1,1,17,839,165
624,1,2,54,378,122
625,1,2,55,384,122
626,1,2,68,479,315
627,0,1,79,817,48
628,1,2,55,517,397
629,1,2,55,893,90
630,1,1,43,81,4
631,1,2,17,463,31
632,1,2,54,282,412
633,1,2,31,218,46
634,1,2,55,207,122
635,0,2,70,37,62
636,1,2,0,54,76
637,1,2,71,753,215
638,0,2,31,880,24
639,1,2,91,462,342
640,1,2,31,21,212
641,1,2,5,377,22
642,0,2,51,434,498
643,1,1,27,434,498
644,1,2,61,697,24
645,1,2,10,857,2
646,1,2,52,75,165
647,1,2,16,279,47
648,1,2,31,218,46
649,1,1,91,192,48
650,1,2,17,466,165
651,0,2,61,83,24
652,1,1,3,161,269
653,1,1,39,849,203
654,0,2,70,37,62
655,1,2,90,155,422
656,1,2,75,972,474
657,1,2,17,743,165
658,0,2,93,413,208
659,1,2,68,459,432
660,0,2,70,37,62
661,0,2,75,470,246
662,1,2,43,434,498
663,1,2,10,90,124
664,0,0,70,37,62
665,1,2,16,410,47
666,0,2,70,37,62
667,0,2,14,699,437
668,1,2,99,413,256
669,0,2,34,413,256
670,1,2,47,57,416
671,0,1,42,427,149
672,0,1,34,785,132
673,0,2,43,81,51
674,0,1,61,83,358
675,0,2,34,119,170
676,0,2,31,720,123
677,1,2,99,288,387
678,1,2,82,84,41
679,1,2,84,871,363
680,1,2,12,61,348
681,0,1,63,56,54
682,0,2,26,278,47
683,0,2,26,278,47
684,1,2,82,1,71
685,0,2,52,46,116
686,1,0,25,356,41
687,1,2,82,310,14
688,1,2,25,113,469
689,1,2,85,378,78
690,1,2,80,534,97
691,0,2,52,341,237
692,1,2,86,759,193
693,1,2,82,104,40
694,1,2,82,84,40
695,0,2,52,341,241
696,1,2,12,422,45
697,1,2,82,197,40
698,0,1,27,620,204
699,1,1,27,197,336
700,0,2,52,191,410
701,0,2,47,191,268
702,0,1,26,662,219
703,1,2,55,191,397
704,0,2,26,972,47
705,1,2,52,75,234
706,1,0,35,875,294
707,1,0,11,802,323
708,0,0,11,355,369
709,0,0,2,188,195
710,0,0,24,228,66
711,0,0,81,228,16
712,0,0,70,37,62
713,1,0,9,512,37
714,1,2,55,288,387
715,1,2,54,517,128
716,0,1,25,839,148
717,0,1,25,356,148
718,0,2,47,12,241
719,1,2,68,328,36
720,1,2,10,107,322
721,1,2,65,800,87
722,0,2,16,471,314
723,1,1,82,197,345
724,1,2,54,377,78
725,1,2,47,311,416
726,1,2,99,193,256
727,1,2,91,193,51
728,0,2,25,958,368
729,0,2,34,119,213
730,0,1,40,14,283
731,1,2,31,343,123
732,1,2,30,993,263
733,0,2,46,230,413
734,1,2,91,718,342
735,1,2,12,46,368
736,1,2,71,877,143
737,1,2,68,924,127
738,1,2,43,81,312
739,1,1,27,197,96
740,0,0,79,290,229
