,2Means_prot,3Means_prot,100Means_prot,1000Means_prot,500Means_prot
0,1,2,52,452,168
1,0,0,58,444,132
2,0,0,42,696,407
3,0,0,41,6,129
4,1,2,42,696,149
5,0,0,13,985,499
6,1,2,86,545,76
7,1,2,91,630,156
8,1,2,91,757,156
9,1,2,15,266,181
10,1,2,4,1,209
11,0,0,26,434,13
12,1,2,86,889,386
13,1,2,68,574,117
14,1,2,48,97,54
15,1,2,29,277,72
16,0,0,11,155,244
17,1,2,57,306,354
18,0,0,71,118,150
19,1,2,86,140,13
20,1,2,86,560,175
21,0,0,42,631,243
22,0,1,2,112,494
23,0,0,88,339,78
24,0,0,1,864,273
25,0,0,49,207,457
26,0,0,34,303,132
27,0,0,92,146,359
28,1,2,42,848,15
29,0,0,34,84,150
30,1,2,87,261,1
31,0,0,41,922,78
32,1,2,50,65,81
33,0,0,7,74,269
34,0,0,23,261,457
35,1,2,20,207,42
36,0,0,53,140,70
37,0,0,23,385,33
38,1,2,12,721,269
39,1,2,20,84,269
40,1,2,59,268,336
41,0,0,13,230,59
42,1,2,33,408,286
43,1,2,50,482,296
44,0,0,21,696,149
45,0,0,49,533,384
46,0,0,38,290,410
47,1,2,35,986,32
48,0,0,58,110,134
49,0,0,89,650,273
50,0,0,89,650,273
51,0,0,25,343,250
52,1,2,94,141,157
53,0,0,21,240,59
54,0,0,34,915,10
55,0,0,89,650,395
56,1,2,68,981,416
57,0,0,41,984,393
58,1,2,97,181,140
59,1,2,97,181,140
60,1,2,97,181,140
61,1,2,97,181,140
62,1,2,97,181,140
63,1,2,97,181,140
64,1,2,97,181,140
65,1,2,48,82,239
66,0,0,76,916,277
67,0,0,76,82,277
68,0,0,72,17,416
69,0,0,41,6,327
70,1,2,1,4,347
71,1,2,1,375,54
72,0,0,1,701,216
73,1,2,66,392,141
74,0,0,56,23,17
75,0,0,34,359,17
76,1,2,91,401,203
77,0,0,41,260,38
78,0,0,91,395,106
79,0,0,79,550,1
80,1,2,91,346,198
81,1,2,91,401,203
82,0,0,79,116,11
83,1,2,53,395,386
84,1,2,1,395,347
85,1,2,86,395,347
86,0,0,41,323,129
87,1,2,52,220,283
88,1,2,91,57,56
89,1,2,23,295,186
90,1,2,78,57,441
91,1,2,57,250,165
92,0,0,1,401,185
93,1,2,86,664,403
94,1,2,78,805,165
95,0,0,41,529,215
96,1,2,88,395,439
97,1,2,91,401,203
98,1,2,91,401,203
99,0,0,91,701,17
100,0,0,79,116,215
101,1,2,1,401,347
102,1,2,96,341,115
103,1,2,0,30,490
104,0,0,22,701,38
105,1,2,78,192,480
106,1,2,1,718,165
107,1,2,44,497,174
108,0,0,62,401,106
109,1,2,47,401,347
110,0,0,34,62,150
111,0,0,1,345,270
112,1,2,23,805,165
113,0,0,34,113,165
114,1,2,1,15,347
115,1,2,79,395,215
116,1,2,26,401,198
117,1,2,91,51,215
118,1,2,91,401,203
119,1,2,0,995,347
120,1,2,49,22,119
121,0,0,22,701,38
122,0,0,52,360,384
123,1,2,57,250,257
124,0,0,22,701,38
125,1,2,64,617,223
126,1,2,64,311,65
127,0,0,46,166,34
128,0,0,64,701,38
